nes size p.value p.adj
TFAP2B -3.19639622892402 204 0.00139155871664491 0.00904914753608152
ZNF879 -3.19626516280489 212 0.00139219103999695 0.00904914753608152
MYT1 3.19409965185168 284 0.00140267689029215 0.00904914753608152
THAP10 3.19389205454009 249 0.00140368593506109 0.00904914753608152
DLX6 3.19285579212839 668 0.0014087327948993 0.00904914753608152
NR2F1 -3.19138851917361 295 0.0014159074046318 0.00904914753608152
PBX2 3.19046811244022 441 0.00142042514923179 0.00904914753608152
CLOCK -3.18715306075714 476 0.00143680717690222 0.00909131239657715
ZNF17 -3.18588033682973 330 0.00144314274595581 0.00909131239657715
ZNF526 3.18374640803837 276 0.00145382316785237 0.00909131239657715
CEBPE 3.18353436352038 295 0.00145488843099895 0.00909131239657715
NFIB -3.17953345438589 523 0.00147512340761157 0.00917386271590813
ESRRA -3.17559948927687 371 0.00149527238025686 0.00921905746334758
GLIS3 3.17535972548251 362 0.00149650856219731 0.00921905746334758
ZNF181 -3.17277513918129 399 0.00150989416720809 0.00925784874353878
MYBL1 3.17039253119349 261 0.00152233133930672 0.00928732618260068
ZNF613 -3.16913677088923 337 0.00152892429499169 0.00928732618260068
ZNF268 -3.16596845663169 273 0.00154567554010527 0.00934561229341427
ZNF44 -3.16367186882312 175 0.0015579233487692 0.00936986425746291
NFIX -3.16207552515938 483 0.00156648930418847 0.00936986425746291
KLF4 -3.16054700625237 340 0.0015747319350681 0.00936986425746291
ZNF573 -3.15987202922674 157 0.00157838448441182 0.00936986425746291
LMX1B 3.15745395263414 364 0.00159153370644631 0.00940517203899946
GLIS2 3.1537064104975 435 0.00161211178212948 0.00946672762285022
FOXK2 3.15195664754983 338 0.00162180350357549 0.00946672762285022
ZNF429 -3.15161609431693 207 0.00162369600881964 0.00946672762285022
JDP2 -3.14968309491491 319 0.00163447653928909 0.00948722826805132
MXI1 -3.1472831642601 294 0.00164795284350291 0.00952312572395928
SMAD9 -3.14309117740947 474 0.00167173758062624 0.00960579176107817
ZNF8 3.13999305440171 271 0.00168951840309653 0.00960579176107817
ZNF248 -3.13915119967663 203 0.00169437996517836 0.00960579176107817
ZNF420 -3.13844118314584 249 0.00169849018421322 0.00960579176107817
FOXP3 3.13834742752144 263 0.00169903361164553 0.00960579176107817
PRDM10 -3.13214563706994 277 0.00173533771229758 0.00975371220979993
ZFP62 -3.13057336904058 271 0.00174465412681482 0.00975371220979993
SNAPC4 3.12790994036758 192 0.00176054117385917 0.00975371220979993
ZNF668 3.12760712219247 283 0.0017623558454491 0.00975371220979993
DLX2 3.12757655588716 265 0.00176253911295006 0.00975371220979993
HSF1 3.12537306464185 391 0.00177579691700265 0.00978561507850406
ZNF565 -3.12327952469192 298 0.00178847804010365 0.0097925838545485
PITX1 -3.12171068622198 495 0.0017980354092888 0.0097925838545485
NFIL3 3.12065478180014 518 0.00180449438776368 0.0097925838545485
NFE2L3 3.12023727780945 316 0.0018070541416127 0.0097925838545485
RUNX2 3.11869265843608 296 0.00181655337852483 0.00979629575562175
ZNF431 -3.11738554818897 230 0.00182462778532171 0.00979629575562175
ZNF790 -3.11647981680978 151 0.00183024208604265 0.00979629575562175
HOXD9 3.109503603826 192 0.00187401998378257 0.0099734910073527
ZNF836 -3.10877915669941 295 0.00187862081761774 0.0099734910073527
NFKB1 3.10623708684874 401 0.00189484725005881 0.00998000974355351
ELK1 3.10580830541903 338 0.00189759688325726 0.00998000974355351
ZNF524 -3.10473967142225 362 0.00190446563408965 0.00998000974355351
YY1 3.10381687847845 386 0.0019104153414153 0.00998000974355351
ZNF491 -3.09547365395133 215 0.00196498828818342 0.0102242020094325
ZSCAN1 -3.09142050885742 445 0.00199201310311633 0.0102785173265222
DUX4 -3.09075090460923 432 0.00199651046172017 0.0102785173265222
SNAI1 3.08868653339759 379 0.00201043440984941 0.0102785173265222
AHR 3.08867201269899 388 0.00201053266515216 0.0102785173265222
HOXA10 3.08804519381466 411 0.00201477828146224 0.0102785173265222
ZNF160 -3.08480728631541 269 0.00203684082858836 0.0103506386075346
ZNF285 -3.07569734728676 339 0.00210010898396208 0.0105937902883464
POU2F2 3.0755832813739 316 0.00210091246912841 0.0105937902883464
EMX1 3.07328508447319 435 0.00211716124984461 0.0106346638165272
ZNF282 3.07075519944434 338 0.00213518132023958 0.0106840873725398
IRX6 -3.06233761505955 256 0.00219615596996834 0.0109407227407131
ZNF483 -3.0607435191138 190 0.00220788135627784 0.0109407227407131
ZNF726 -3.05656781364428 444 0.00223886830394142 0.0109407227407131
ZNF846 -3.05579391009989 354 0.00224465484880495 0.0109407227407131
NR2E1 3.05381551487295 205 0.00225950983224378 0.0109407227407131
DLX1 3.05295010592666 329 0.00226603611665943 0.0109407227407131
ZNF501 -3.05213160992964 275 0.00227222450409201 0.0109407227407131
FOXP2 -3.05171963813925 412 0.00227534514554911 0.0109407227407131
ZNF554 -3.05160052638773 297 0.00227624813551669 0.0109407227407131
ZNF518B 3.05154327148595 462 0.00227668230356171 0.0109407227407131
THRA -3.05115923258657 271 0.00227959645977645 0.0109407227407131
ZNF618 3.04968229887311 380 0.00229083556663754 0.0109407227407131
TEAD4 3.0484460209906 435 0.00230028234233086 0.0109407227407131
ZNF439 -3.04648298638967 242 0.00231535582142117 0.0109407227407131
ZNF418 -3.04579206922391 333 0.0023206826275519 0.0109407227407131
NR2F2 -3.04476411903854 379 0.00232862865143738 0.0109407227407131
TFCP2 3.04426068236269 407 0.00233252928422029 0.0109407227407131
ARNT -3.04260266301733 372 0.00234541797733287 0.0109407227407131
ZNF443 -3.04257451604324 251 0.00234563734104109 0.0109407227407131
SP140L 3.0410242777185 309 0.00235774818982097 0.010958075216748
ZNF197 -3.03718433371769 390 0.00238799374626665 0.0110592901866108
RARB -3.03589442887374 308 0.00239823318943904 0.0110674648247611
ZNF90 -3.03433915228556 371 0.00241063262791997 0.011078489723808
PBX1 -3.033469968506 483 0.00241758772686468 0.011078489723808
RXRB -3.02841828287095 347 0.0024583755449891 0.0112260086075376
ZNF813 -3.02655893958024 179 0.00247354592454043 0.0112559267506962
ZNF549 -3.02459549484963 257 0.00248965861088964 0.0112899102285482
DLX5 3.02197497045026 342 0.00251131312435153 0.0113487022159277
TCFL5 3.02057325413058 334 0.00252296670389023 0.0113520329475699
SPDEF -3.01979783599876 628 0.00252943460010938 0.0113520329475699
EBF1 -3.00821539192738 507 0.00262786814892557 0.0117534102825233
ZBTB16 -3.00699062094032 278 0.0026384790341719 0.0117605925550461
ZNF417 -3.00510548339232 388 0.00265488759923312 0.0117934802877499
ZNF667 -3.00259023781223 316 0.00267692597972909 0.0118510689136481
ZSCAN5A 2.99966084149916 315 0.00270280379121446 0.0118808199838703
SOX4 2.99927236280022 343 0.00270625266275644 0.0118808199838703
BNC1 2.99874539137761 698 0.0027109374848341 0.0118808199838703
PPARA -2.9960004915255 478 0.0027354599280621 0.0119226131292603
ZNF43 -2.99563594082036 360 0.00273873195924815 0.0119226131292603
NFYC -2.99142010006392 442 0.00277683194304042 0.012048314011996
HOXA1 2.99005537457021 453 0.00278926876693852 0.0120622020186149
ZNF578 -2.98589547610214 314 0.00282749269615278 0.0121017525450035
ZNF426 -2.98549709042611 343 0.00283117831380108 0.0121017525450035
ZNF30 -2.98536449821926 307 0.00283240594743736 0.0121017525450035
FOXL1 2.98503276080945 311 0.00283547953964095 0.0121017525450035
CTCF 2.9838392167187 340 0.00284656309398066 0.0121094833900285
ZNF597 2.98272311868109 374 0.00285696323932029 0.0121142662030919
GRHL3 -2.97752597216145 751 0.00290585023243489 0.0122816841539158
ZNF134 -2.97262663491902 289 0.00295263380893829 0.0123860430862171
ZNF10 -2.97257610388669 440 0.00295311988840662 0.0123860430862171
ZNF860 -2.9719661094562 429 0.00295899344785585 0.0123860430862171
VAX2 2.9701410364246 639 0.0029766305604061 0.0124170005267549
ZNF737 -2.96923679770385 220 0.00298540441454904 0.0124170005267549
POU6F2 2.9639448720704 657 0.00303722692560504 0.0125575174969602
ZNF267 2.96225533680718 426 0.00305394411067044 0.0125575174969602
ZNF219 -2.96128062563005 304 0.00306362656452234 0.0125575174969602
WT1 2.96126802964371 270 0.00306375187184778 0.0125575174969602
ZNF384 2.96091507911032 319 0.00306726499351478 0.0125575174969602
SP8 2.95824497336033 243 0.00309396135664525 0.0126272297868084
STAT3 2.95637139456141 316 0.00311282015591781 0.0126327789790358
ZBTB18 -2.95575051917687 410 0.00311909275612051 0.0126327789790358
TFAP2A 2.95496948355002 475 0.00312699979405674 0.0126327789790358
ZNF607 -2.95427828784698 328 0.00313401254916356 0.0126327789790358
TFAP4 2.95123942257046 353 0.0031650147640317 0.0126958857158545
ZSCAN32 2.94953865559645 504 0.0031824875821759 0.0126958857158545
HOXC10 2.94907991203967 144 0.0031872155120274 0.0126958857158545
KLF9 -2.94768477763712 442 0.00320163349263692 0.0126958857158545
CEBPB 2.94622041746399 389 0.00321683079919473 0.0126958857158545
ZNF778 -2.94605632880599 409 0.00321853782042082 0.0126958857158545
ZNF570 -2.94505090957893 269 0.00322901527518911 0.0126958857158545
TP53 -2.94433475076247 571 0.00323649729536358 0.0126958857158545
LHX1 2.94427146562171 160 0.003237159221577 0.0126958857158545
RARA 2.94293939672954 233 0.00325112055091285 0.0127124653877011
ZNF619 -2.94099759093431 269 0.0032715707819911 0.0127542431082996
IRF9 2.93928689529509 349 0.00328968408693407 0.0127866887426664
IRF3 2.93711559244302 248 0.00331280597099653 0.0128383519232091
ZNF354C -2.93269280745114 276 0.00336036199109767 0.0129841205928212
ZNF484 2.93160334980211 498 0.00337217141829201 0.0129841914549101
SMAD1 2.93085876546076 349 0.00338026423787858 0.0129841914549101
ZNF674 2.92990723357537 373 0.00339063208991652 0.012985822608302
ZNF131 2.92848646538405 415 0.00340616661819848 0.012988948971748
PURA -2.92801466157833 286 0.00341133958446367 0.012988948971748
ZNF518A -2.92644999166951 536 0.00342854621889596 0.0130002350718829
TFDP1 2.92593632732517 428 0.00343421217442542 0.0130002350718829
ZNF569 -2.92357977940248 305 0.00346031539348898 0.0130611904736896
ZNF672 -2.91974801126284 300 0.00350314522809442 0.0131491656058238
POU6F1 -2.919693385047 300 0.00350375928853498 0.0131491656058238
GBX1 -2.91804329780115 217 0.00352235436324206 0.0131761270361766
GATA6 2.91655342634827 242 0.00353922103513195 0.0131761270361766
PURG -2.91637814034769 320 0.00354121025244869 0.0131761270361766
KLF16 2.91252645676899 252 0.00358517828356574 0.013273464681973
ZNF254 -2.91230706596035 410 0.00358769757483651 0.013273464681973
ZNF699 2.91068918772597 366 0.00360632564570305 0.0133046929188932
ZBTB4 -2.90724966495359 353 0.00364622055685608 0.0134139832317015
GRHL1 -2.9044662190639 367 0.00367879900039761 0.0134958188048294
ADNP2 2.90293336153673 400 0.00369685290668354 0.0135240613336938
ZNF41 -2.8992075786978 177 0.00374107127463986 0.0136475952086024
ZBTB14 -2.89760455682781 282 0.00376024376328894 0.0136793268937475
TEF -2.89658616221912 371 0.00377247032725639 0.0136856840205468
IRX2 2.89437129192776 338 0.00379918627681254 0.0137077128120948
ZNF577 -2.89434251744987 288 0.00379953448543517 0.0137077128120948
E2F4 2.88926630923783 306 0.00386141900227671 0.0138925983938661
FOXD1 2.88523489670412 436 0.00391121714513174 0.014021510370412
KLF2 -2.88463136595546 422 0.00391872227044439 0.014021510370412
ZNF623 2.8828108757537 238 0.00394144003031176 0.0140619054675942
ZNF750 -2.8820040793348 488 0.00395154617657509 0.0140619054675942
SMAD4 -2.87825259645044 414 0.00399884804425214 0.0141915639831339
ZFPM1 2.87194524886949 421 0.00407953640205824 0.0144365128816538
IRF6 2.87113741739499 435 0.00408997685008568 0.0144365128816538
ZNF585B -2.86795872099177 242 0.00413129430665776 0.0145430468045688
ZNF33A -2.86491836535219 207 0.00417116757927389 0.0146439377917519
FOXN3 -2.8634733803333 599 0.0041902402128013 0.0146714576887895
MLXIP 2.86189085002872 515 0.00421121907262258 0.0147054869220457
MEIS3 2.86012020160734 338 0.00423480462588901 0.0147316404161458
MEIS2 -2.85891843396768 350 0.00425088070664258 0.0147316404161458
ZNF777 2.85825451039591 246 0.00425978574754294 0.0147316404161458
ZNF746 2.85763914328983 370 0.00426805461652469 0.0147316404161458
ZNF571 -2.85711504809794 161 0.00427510851280188 0.0147316404161458
